Satellite_Tag_Num,Project_Year,Project_Type,Project_Name,Location,Start_Transmission,End_Transmission,Data_Days,Seal_ID,NickName,Size,Sex,Other_tags,Handling,
44421549,2010s,foraging,CellTags-KW,MHI-Mol,03/27/10,09/27/10,184,RI11,,A,M,,,
44421583,2010s,foraging,CellTags-KW,MHI-Oahu,03/01/10,08/21/10,173,R012,,A,M,,,
44421700,2010s,foraging,CellTags-KW,MHI-Mol,03/27/10,05/10/10,44,RE70,,A,M,,,
44421783,2010s,foraging,CellTags-KW,MHI-Oahu,06/29/10,08/31/10,63,RR70,,A,M,,,
44439737,2010s,foraging,CellTags-KW,MHI-Kauai,01/27/13,06/29/13,153,RW02,,A,M,,,
44439740,2010s,foraging,CellTags-KW,MHI-Kauai,05/22/12,10/11/12,142,RK36,,A,M,,,
44439742,2010s,foraging,CellTags-KW,MHI-Mol,02/14/13,03/12/13,26,R306,,A,M,,,
44520820,2010s,foraging,CellTags-KW,MHI-Oahu,07/09/10,11/26/10,140,R4DF,,S4,F,,,
44608660,2010s,foraging,CellTags-KW,MHI-Kauai,09/28/12,11/24/12,57,RV18,,A,M,,,
44608987,2010s,foraging,CellTags-KW,MHI-Mol,08/24/12,11/21/12,89,RM38,,A,M,,,
44608997,2010s,foraging,CellTags-KW,MHI-Kauai,06/15/11,10/31/11,138,RK36,,A,M,,,
44656862,2010s,foraging,CellTags-KW,MHI-Kauai,01/26/11,07/13/11,168,RB24,,S ,F,,,
44688749,2010s,foraging,CellTags-KW,MHI-Kauai,10/03/07,02/22/08,142,RK35,,A,F,,,
44926335,2010s,foraging,CellTags-KW,MHI-Kauai,02/09/10,02/24/10,15,RK36,,A,M,,,
95624,2010s,foraging,Argos-CellTags-KW,MHI-Oahu-Kauai,05/29/12,10/18/12,143,RK36,,A,M,CELL TAG 1222,05/19/12,
121013,2010s,foraging,Argos-CellTags-KW,MHI-Oahu,06/30/12,01/14/13,172,R5AY,,A,,,11/26/12,
121016,2010s,foraging,Argos-CellTags-KW,MHI-Kauai,01/25/13,06/24/13,151,RW02,,A,M,"WITH CELL TAG 12223, CCAM 5740, ACCEL, VHF",01/26/13,
121015,2010s,foraging,Argos-CellTags-KW,MHI-Mol,02/11/13,02/25/13,15,R306,,A,M,goes with cell tag 12192 - and Ccam,02/13/13,
74957,2010s,foraging,Argos-CellTags-KW,MHI-Mol,02/12/13,02/27/13,15,RA50,,S4,M,goes with cell tag 12168,02/12/13,
121020,2010s,foraging,Argos-CellTags-KW,MHI-Mol,02/14/13,02/22/13,8,RA08,,S4,M,goes with cell tag 11661,02/13/13,
131454,2010s,foraging,Argos-CellTags-KW,MHI-Mol,06/26/13,08/05/13,39,R307,,A,M,GOES WITH CELL TAG 11662,07/12/13,
131452,2010s,foraging,Argos-CellTags-KW,MHI-Mol,06/26/13,08/08/13,42,RW20,,A,M,GOES WITH CELL TAG 12199,07/10/13,
131455,2010s,foraging,Argos-CellTags-KW,MHI-Oahu,06/26/13,08/29/13,63,RV18,,A,M,GOES WITH CELL TAG 11799,07/15/13,
131455,2010s,foraging,Argos-CellTags-KW,MHI-Oahu,01/24/14,10/12/14,261,RV08,,A,M,ALSO CCAM AND CELL TAG 12753,10/10/14,
,,,,,,,,,,,,,,
79745,2008,translocation,2008-09-translocation TN,Nihoa,09/11/08,10/29/08,47,R2BK,,A,M,,,
79754,2008,translocation,2008-09-translocation TN,Nihoa,06/09/08,12/12/08,186,R2BU,,A,M,,,
79768,2008,translocation,2008-09-translocation TN,Nihoa,09/11/08,12/30/09,110,R2BW,,A,F,,,
79739,2008,translocation,2008-09-translocation TN,Nihoa,02/21/08,12/11/08,293,R2BY,,A,M,,,
96760,2008,translocation,2008-09-translocation TN,Nihoa,07/30/09,12/31/09,154,R5EE,,A,F,,,
96761,2008,translocation,2008-09-translocation TN,Nihoa,07/30/09,12/16/09,139,R5EG,,A,F,,,
96762,2008,translocation,2008-09-translocation TN,Nihoa,07/30/09,11/26/09,120,R5EI,,A,M,,,
96765,2008,translocation,2008-09-translocation TN,Nihoa,07/31/09,10/22/09,82,R5EM,,A,M,,,
96763,2008,translocation,2008-09-translocation TN,Nihoa,07/31/09,11/11/09,103,R5EP,,A,F,,,
96757,2008,translocation,2008-09-translocation TN,Nihoa,07/30/09,11/05/09,98,RA50,,W,M,,,
96759,2008,translocation,2008-09-translocation TN,Nihoa,07/30/09,12/26/09,149,RA52,,W,M,,,
96758,2008,translocation,2008-09-translocation TN,Nihoa,07/30/09,12/31/09,154,RA54,,W,M,,,
96764,2008,translocation,2008-09-translocation TN,Nihoa,08/21/09,09/29/09,40,RA58,,W,M,,,
79748,2008,translocation,2008-09-translocation TN,Nihoa,09/10/08,04/03/09,111,RW62,,W,F,,,
79747,2008,translocation,2008-09-translocation TN,Nihoa,09/11/08,03/12/09,110,RW64,,W,M,,,
79751,2008,translocation,2008-09-translocation TN,Nihoa,09/11/08,10/14/08,34,RW66,,W,F,,,
79733,2008,translocation,2008-09-translocation TN,Nihoa,02/21/08,05/31/09,313,RW68,,W,M,,,
96751,2008,translocation,2008-09-translocation TN,Nihoa,07/30/09,12/31/09,154,YA08,,W,F,,,
96753,2008,translocation,2008-09-translocation TN,Nihoa,07/30/09,12/31/09,155,YA10,,W,M,,,
96755,2008,translocation,2008-09-translocation TN,Nihoa,07/30/09,12/14/09,137,YA20,,W,M,,,
96756,2008,translocation,2008-09-translocation TN,Nihoa,07/30/09,09/07/09,40,YA22,,W,F,,,
96752,2008,translocation,2008-09-translocation TN,Nihoa,07/30/09,12/30/09,154,YA26,,W,F,,,
96754,2008,translocation,2008-09-translocation TN,Nihoa,07/30/09,12/31/09,154,YA42,,W,M,,,
79767,2008,translocation,2008-09-translocation TN,Nihoa,08/29/08,04/28/09,124,YW07,,W,F,,,
79769,2008,translocation,2008-09-translocation TN,Nihoa,08/30/08,11/16/08,79,YW11,,W,F,,,
79753,2008,translocation,2008-09-translocation TN,Nihoa,08/30/08,02/21/09,123,YW19,,W,M,,,
79752,2008,translocation,2008-09-translocation TN,Nihoa,01/01/08,12/30/08,728,YW24,,W,F,,,
79744,2008,translocation,2008-09-translocation TN,Nihoa,08/28/08,09/06/08,9,YW27,,W,M,,,
79743,2008,translocation,2008-09-translocation TN,Nihoa,02/21/08,10/30/08,251,YW29,,W,F,,,
79732,2008,translocation control ?,2008-09-translocation TN-control??,LIS,02/22/08,12/21/09,310,GB00,,J1,M,,03/04/08,
79730,2008,translocation control ?,2008-09-translocation TN-control??,LIS,02/21/08,04/04/08,44,GB14,,J1,M,,03/08/08,
79742,2008,translocation control ?,2008-09-translocation TN-control??,LIS,02/21/08,12/30/09,312,GB34,,J1,F,,03/08/08,
79740,2008,translocation control ?,2008-09-translocation TN-control??,LIS,02/22/08,04/04/09,312,GO20,,J1,F,,03/05/08,
